Categoría;Sexo;Tipo de Eliminatoria;Mínimo;Maximo de Puntos;Fuente
Arco Compuesto;Hombre;Round;141;150;https://www.ianseo.net/TourData/2021/8937/IBCM.php
;Mujer;Round;136;150;https://www.ianseo.net/TourData/2021/8937/IBCW.php
Arco Olímpico;Hombre;Set;26;30;https://www.ianseo.net/TourData/2021/8937/IBRM.php
;Mujer;Set;26;30;https://www.ianseo.net/TourData/2021/8937/IBRW.pdf?time=2021-07-24+18%3A40%3A05
Arco Instintivo;Hombre;Set;24;30;https://www.ianseo.net/TourData/2021/8937/IBIM.pdf?time=2021-07-25+19%3A05%3A56
;Mujer;Set;21;30;https://www.ianseo.net/TourData/2021/8937/IBIW.php
Arco Long Bow;Hombre;Set;24;30;https://www.ianseo.net/TourData/2021/8937/IBLM.pdf?time=2021-07-25+19%3A05%3A26
;Mujer;Set;23;30;https://www.ianseo.net/TourData/2021/8937/IBLW.pdf?time=2021-07-25+19%3A08%3A40
Desnudo;Hombre;Set;24;30;https://www.ianseo.net/TourData/2021/8937/IBBM.pdf?time=2021-07-25+19%3A01%3A28
;Mujer;Set;20;30;https://www.ianseo.net/TourData/2021/8937/IBBW.pdf?time=2021-07-25+19%3A09%3A42
